"Tags: relocation needs, affordable housing, first time home buyer, PGH neighborhood info, ",,,
Themes,Items,Notes,Website link
Housing,Realtors  (relocation guides pdf),Century 21 Relocation Guide ,https://www.c21frontier.com/relocation
,,AARCO Relocation Services ,https://www.aarcorealty.com/relocation-guide
,,Best Pittsburgh Homes Relocation guide,https://www.bestpittsburghhomes.com/discover-pittsburghs-best-neighborhoods-for-relocation-a-comprehensive-guide/
,Mortgage lenders,Top 5 Mortgage Lenders in Pittsburgh,https://www.mortgagelenderscomparison.com/purchase/good/asap?utm_source=google&utm_term=best%20home%20mortgage%20lenders&externalcreative=684631760041&p=&utm_content=&utm_ad=156371815389&utm_medium=kwd-306737655539&externalcampaign=20858711490&matchtype=p&ts=mortgage-lenders&locphysicalms=9005920&from_ad=1&dev=c&devmod=&mobval=0&network=g&interest=&feedid=&topic=Pur_Google_DT_HQ&clicktype=&t=search&tt=hq&camtype=&gad_source=1&gad_campaignid=20858711490&gbraid=0AAAAADEDLOxID-ufrw6gVQC5hIu8hmAGG&gclid=Cj0KCQjwxdXBBhDEARIsAAUkP6gp1T_EsNV8Wf18L_I4FzbDlNFKgQZ8OPQDKwD7IUvr70bGT7xUqRYaAp6UEALw_wcB
,Affordable housing,Urban Redevelopment Authority Housing Resources,https://www.ura.org/pages/housing-resources
,,"East Liberty Development LLC. Affordable Housing, Revitalizing East Liberty",https://www.eastliberty.org/where-to-live/affordable-housing/
,Tenant rights,Consumer Guide to Tenants and Land Lords Rights,https://www.attorneygeneral.gov/wp-content/uploads/2022/06/OAG-Consumer-Guide-Tenant-Landlord-Rights-v.13-web-version.pdf
,first time Home buying assistance programs in city,"OwnPGH Homeownership Program, eligable for first time home buyers in the city ",https://www.ura.org/pages/OwnPGH
,,"HACP, Housing Authority City of Pitsburgh, Assist and support with financial literacy",https://hacp.org/housing/home-ownership/
,first time Home buying assistance programs in allegheny county,First Home Allegheny County Loan Program,https://www.alleghenycounty.us/Projects-and-Initiatives/Economic-Development/Residents-Housing-Support/First-Home-Allegheny-Program
,Moving Resources,"Has Checklists, Evaluators, and Guides",https://www.allied.com/moving-resources/relocation-guides/moving-to-pittsburgh
,Neighborhoods,Overview of each Pittsburgh Neighborhood,https://www.visitpittsburgh.com/neighborhoods/
,rental assitance -- needs to move to housing,,